,Task,Start,Finish,Status,Amount
104,REF015,2018-03-01 17:37:23.000,2018-03-01 17:42:04.000,PN020,0.0
105,Change,2018-03-01 17:37:23.000,2018-03-01 17:42:04.000,Change,0.0
106,REF015,2018-03-01 17:42:04.000,2018-03-01 17:43:25.000,PR000,2.0
107,Change,2018-03-01 17:42:04.000,2018-03-01 17:43:25.000,Change,0.0
108,REF015,2018-03-01 17:43:25.000,2018-03-01 17:44:59.000,PN020,0.0
109,Change,2018-03-01 17:43:25.000,2018-03-01 17:44:59.000,Change,0.0
110,REF015,2018-03-01 17:44:59.000,2018-03-01 17:47:43.000,PR000,9.0
111,Change,2018-03-01 17:44:59.000,2018-03-01 17:47:43.000,Change,0.0
112,REF015,2018-03-01 17:47:43.000,2018-03-01 17:48:31.000,PN020,0.0
113,Change,2018-03-01 17:47:43.000,2018-03-01 17:48:31.000,Change,0.0
114,REF015,2018-03-01 17:48:31.000,2018-03-01 17:50:29.000,PR000,4.0
115,Change,2018-03-01 17:48:31.000,2018-03-01 17:50:29.000,Change,0.0
116,REF015,2018-03-01 17:50:29.000,2018-03-01 17:52:26.000,PN020,0.0
117,Change,2018-03-01 17:50:29.000,2018-03-01 17:52:26.000,Change,0.0
118,REF015,2018-03-01 17:52:26.000,2018-03-01 18:00:52.000,PR000,32.0
119,Change,2018-03-01 17:52:26.000,2018-03-01 18:00:52.000,Change,0.0
120,REF015,2018-03-01 18:00:52.000,2018-03-01 18:01:39.000,PN020,0.0
121,Change,2018-03-01 18:00:52.000,2018-03-01 18:01:39.000,Change,0.0
122,REF015,2018-03-01 18:01:39.000,2018-03-01 18:09:04.000,PR000,26.0
123,Change,2018-03-01 18:01:39.000,2018-03-01 18:09:04.000,Change,0.0
124,REF015,2018-03-01 18:09:04.000,2018-03-01 18:11:24.000,PN020,0.0
125,Change,2018-03-01 18:09:04.000,2018-03-01 18:11:24.000,Change,0.0
126,REF015,2018-03-01 18:11:24.000,2018-03-01 18:21:51.000,PR000,39.0
127,Change,2018-03-01 18:11:24.000,2018-03-01 18:21:51.000,Change,0.0
128,REF015,2018-03-01 18:21:51.000,2018-03-01 18:22:38.000,PN020,0.0
129,Change,2018-03-01 18:21:51.000,2018-03-01 18:22:38.000,Change,0.0
130,REF015,2018-03-01 18:22:38.000,2018-03-01 19:54:28.000,PR000,410.0
131,Change,2018-03-01 18:22:38.000,2018-03-01 19:54:28.000,Change,0.0
132,REF015,2018-03-01 19:54:28.000,2018-03-01 19:55:38.000,FT001,0.0
133,Change,2018-03-01 19:54:28.000,2018-03-01 19:55:38.000,Change,0.0
134,REF015,2018-03-01 19:55:38.000,2018-03-01 20:01:52.000,PR000,21.0
135,Change,2018-03-01 19:55:38.000,2018-03-01 20:01:52.000,Change,0.0
136,REF015,2018-03-01 20:01:52.000,2018-03-01 20:14:10.000,PN020,0.0
137,Change,2018-03-01 20:01:52.000,2018-03-01 20:14:10.000,Change,0.0
138,REF015,2018-03-01 20:14:10.000,2018-03-01 20:15:09.000,PR000,1.0
139,Change,2018-03-01 20:14:10.000,2018-03-01 20:15:09.000,Change,0.0
140,REF015,2018-03-01 20:15:09.000,2018-03-01 20:16:56.000,FT001,0.0
141,Change,2018-03-01 20:15:09.000,2018-03-01 20:16:56.000,Change,0.0
142,REF015,2018-03-01 20:16:56.000,2018-03-01 20:28:56.000,PR000,49.0
143,Change,2018-03-01 20:16:56.000,2018-03-01 20:28:56.000,Change,0.0
144,REF015,2018-03-01 20:28:56.000,2018-03-01 20:29:54.000,PN020,0.0
145,Change,2018-03-01 20:28:56.000,2018-03-01 20:29:54.000,Change,0.0
146,REF015,2018-03-01 20:29:54.000,2018-03-01 20:45:42.000,PR000,55.0
147,Change,2018-03-01 20:29:54.000,2018-03-01 20:45:42.000,Change,0.0
148,REF015,2018-03-01 20:45:42.000,2018-03-01 20:47:16.000,PN020,0.0
149,Change,2018-03-01 20:45:42.000,2018-03-01 20:47:16.000,Change,0.0
150,REF015,2018-03-01 20:47:16.000,2018-03-01 20:47:53.000,PR000,4.0
151,Change,2018-03-01 20:47:16.000,2018-03-01 20:47:53.000,Change,0.0
152,REF015,2018-03-01 20:47:53.000,2018-03-01 21:00:00.000,PR000,47.0
153,Change,2018-03-01 20:47:53.000,2018-03-01 21:00:00.000,Change,0.0
154,REF015,2018-03-01 21:00:00.000,2018-03-01 21:13:08.000,PR000,61.0
155,Change,2018-03-01 21:00:00.000,2018-03-01 21:13:08.000,Change,0.0
156,REF015,2018-03-01 21:13:08.000,2018-03-01 21:15:16.000,PR000,10.0
157,Change,2018-03-01 21:13:08.000,2018-03-01 21:15:16.000,Change,0.0
158,REF015,2018-03-01 21:15:16.000,2018-03-01 21:15:19.000,PR000,0.0
159,Change,2018-03-01 21:15:16.000,2018-03-01 21:15:19.000,Change,0.0
160,REF015,2018-03-01 21:15:19.000,2018-03-01 21:16:57.000,PR000,8.0
161,Change,2018-03-01 21:15:19.000,2018-03-01 21:16:57.000,Change,0.0
162,REF015,2018-03-01 21:16:57.000,2018-03-01 21:56:42.000,PR000,176.0
163,Change,2018-03-01 21:16:57.000,2018-03-01 21:56:42.000,Change,0.0
164,REF015,2018-03-01 21:56:42.000,2018-03-01 21:57:17.000,FT001,0.0
165,Change,2018-03-01 21:56:42.000,2018-03-01 21:57:17.000,Change,0.0
166,REF015,2018-03-01 21:57:17.000,2018-03-02 00:05:09.000,PR000,563.0
167,Change,2018-03-01 21:57:17.000,2018-03-02 00:05:09.000,Change,0.0
168,REF015,2018-03-02 00:05:09.000,2018-03-02 00:08:53.000,PN020,0.0
169,Change,2018-03-02 00:05:09.000,2018-03-02 00:08:53.000,Change,0.0
170,REF015,2018-03-02 00:08:53.000,2018-03-02 00:20:09.000,PR000,45.0
